级别,规则,单词,音标,分块,分块音标,类型,说明
WARN,high_risk_pattern_split,member,/ˈmembə/,m | e | m | b | er,/m/ /e/ /m/ /b/ /ə/,consonant vowel consonant consonant r_controlled,高风险拼读组合 `mb` 没有作为整体分块。
WARN,high_risk_pattern_split,mention,/ˈmɛnʃən/,ment | i | o | n,,suffix vowel vowel consonant,高风险拼读组合 `tion` 没有作为整体分块。
WARN,risky_word_without_sounds,mention,/ˈmɛnʃən/,ment | i | o | n,,suffix vowel vowel consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,method,/ˈmɛθəd/,m | e | th | o | d,,consonant vowel consonant vowel consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,minute,/ˈmɪnɪt/,m | i | n | u | t | e,,consonant vowel consonant vowel consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,model,/ˈmɒdl/,m | o | d | e | l,,consonant vowel consonant vowel consonant,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,money,/ˈmʌni/,m | o | n | e | y,,consonant vowel consonant vowel consonant,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,monkey,/ˈmʌŋki/,m | o | n | k | e | y,,consonant vowel consonant consonant vowel consonant,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,Moscow,/ˈmɔskəʊ/,M | o | sc | ow,,consonant vowel consonant vowel_team,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,mountain,/ˈmaʊntən/,m | ou | n | t | ai | n,,consonant vowel_team consonant consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,museum,/mjuˈziːəm/,m | u | s | e | u | m,,consonant vowel consonant vowel vowel consonant,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,national flag,/ˈnæʃənəlflæg/,national flag,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,ed_not_grouped,need,/niːd/,n | ee | d,/n/ /iː/ /d/,consonant vowel_team consonant,`-ed` 词尾没有作为整体分块。
WARN,risky_word_without_sounds,neighbour,/ˈneɪbə/,n | e | igh | b | ou | r,,consonant vowel vowel_team consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,neighbourhood,/ˈneɪbəhʊd/,n | e | igh | b | ou | r | h | oo | d,,consonant vowel vowel_team consonant vowel_team consonant consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,neither,/ˈnaɪðə/,n | e | i | th | er,,consonant vowel vowel consonant r_controlled,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,nervous,/ˈnɜːvəs/,n | er | v | ou | s,,consonant r_controlled consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,New Zealand,/njuːˈziːlənd/,New Zealand,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,next week,/nɛkstwik/,next week,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,nineteen,/ˌnaɪnˈtiːn/,n | i | n | e | t | ee | n,,consonant vowel consonant vowel consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,nineteen,/ˌnaɪnˈtiːn/,n | i | n | e | t | ee | n,,consonant vowel consonant vowel consonant vowel_team consonant,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,ninety,/ˈnaɪnti/,n | i | n | e | t | y,,consonant vowel consonant vowel consonant consonant,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,nosebleed,/ˈnəʊzbliːd/,n | o | s | e | bl | ee | d,,consonant vowel consonant vowel consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
